Contracts,Trade Type,Qty,Entry Price,Realized P&L,Filled Price,Exit Type,Filled/Settlement Time(UTC+0),Create Time
HBARUSDT,BUY,327.00000000000000000000,0.14483000000000000000,0.98546028000000000000,0.14153000000000000000,Trade,12:48 2024-11-24,12:48 2024-11-24
MANAUSDT,BUY,78.00000000000000000000,0.62780000000000000000,1.78374300000000000000,0.60370000000000000000,Trade,12:43 2024-11-24,12:43 2024-11-24
AVAXUSDT,SELL,2.40000000000000000000,41.07000000000000000000,-5.69648448000000000000,38.75000000000000000000,Trade,12:37 2024-11-24,12:18 2024-11-24
HBARUSDT,SELL,653.00000000000000000000,0.15303000000000000000,-5.56381872000000000000,0.14483735000000000000,Trade,12:34 2024-11-24,12:34 2024-11-24
OXTUSDT,BUY,380.00000000000000000000,0.12911000000000000000,2.44661860000000000000,0.12242000000000000000,Trade,11:19 2024-11-24,10:38 2024-11-24
SUIUSDT,SELL,20.00000000000000000000,3.49100000000000000000,-2.00353905000000000000,3.39970000000000000000,Trade,10:44 2024-11-24,07:15 2024-11-24
OXTUSDT,SELL,770.00000000000000000000,0.12991338000000000000,-0.25001660000000000000,0.12984844000000000000,Trade,10:34 2024-11-24,10:34 2024-11-24
PNUTUSDT,BUY,41.00000000000000000000,1.18550000000000000000,0.74331213000000000000,1.16560000000000000000,Trade,10:11 2024-11-24,07:31 2024-11-24
OXTUSDT,SELL,710.00000000000000000000,0.14000000000000000000,0.31656380000000000000,0.14063690000000000000,Trade,09:24 2024-11-24,09:20 2024-11-24
OXTUSDT,SELL,750.00000000000000000000,0.13166147000000000000,2.30869910000000000000,0.13500640000000000000,Trade,09:12 2024-11-24,09:10 2024-11-24
OXTUSDT,BUY,780.00000000000000000000,0.12696000000000000000,-4.08393960000000000000,0.13193693000000000000,Trade,09:09 2024-11-24,09:07 2024-11-24
KSMUSDT,BUY,1.08000000000000000000,45.43054795000000000000,2.35100226000000000000,43.12000000000000000000,Trade,09:01 2024-11-24,07:02 2024-11-24
KSMUSDT,BUY,1.10000000000000000000,45.43054793000000000000,1.64579132000000000000,43.80000000000000000000,Trade,08:54 2024-11-24,08:54 2024-11-24
SANDUSDT,SELL,83.00000000000000000000,0.60140000000000000000,0.20196224000000000000,0.60510000000000000000,Trade,08:54 2024-11-24,07:29 2024-11-24
PNUTUSDT,BUY,41.00000000000000000000,1.18550000000000000000,1.48615424000000000000,1.14750000000000000000,Trade,08:53 2024-11-24,08:53 2024-11-24
SANDUSDT,SELL,83.00000000000000000000,0.60140000000000000000,2.33292914000000000000,0.63080000000000000000,Trade,08:20 2024-11-24,08:20 2024-11-24
PNUTUSDT,SELL,82.00000000000000000000,1.21402683000000000000,-2.54415300000000000000,1.18540000000000000000,Trade,07:30 2024-11-24,07:30 2024-11-24
DOGEUSDT,SELL,227.00000000000000000000,0.43885000000000000000,-0.25366342000000000000,0.43861000000000000000,Trade,06:52 2024-11-24,06:52 2024-11-24
